Customer ID,Category,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Year_x,Month,Weekday,Payment Method Encoded,Location Encoded,Cat_Fitness,Cat_Food,Cat_Friend Activities,Cat_Gifts,Cat_Groceries,Cat_Hobbies,Cat_Housing and Utilities,Cat_Medical/Dental,Cat_Personal Hygiene,Cat_Shopping,Cat_Subscriptions,Cat_Transportation,Cat_Travel,Country,Expenditure_Per_Capita,Year_y,Spending_Difference
CUST_0159,Groceries,Milk,1,1.28,1.28,Debit Card,Mobile App,2024-11-13,2024,11,Wednesday,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,United States,43931,2021,-43929.72
CUST_0017,Friend Activities,Dinner with Friends,2,74.69,149.39,Debit Card,In-store,2023-05-04,2023,5,Thursday,2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,United States,43931,2021,-43781.61
CUST_0094,Housing and Utilities,Water Bill,1,76.06,76.06,Digital Wallet,Mobile App,2023-12-16,2023,12,Saturday,3,1,False,False,False,False,False,False,True,False,False,False,False,False,False,United States,43931,2021,-43854.94
CUST_0162,Fitness,Yoga Class,5,11.24,56.18,Cash,In-store,2024-01-28,2024,1,Sunday,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,United States,43931,2021,-43874.82
CUST_0129,Gifts,Flowers,3,43.71,131.12,Debit Card,In-store,2023-07-28,2023,7,Friday,2,0,False,False,False,True,False,False,False,False,False,False,False,False,False,United States,43931,2021,-43799.88
CUST_0071,Gifts,Flowers,2,15.87,31.74,Digital Wallet,Mobile App,2024-07-14,2024,7,Sunday,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,United States,43931,2021,-43899.26
CUST_0165,Transportation,Car Repair,1,371.29,371.29,Debit Card,Mobile App,2024-03-08,2024,3,Friday,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,United States,43931,2021,-43559.71
CUST_0147,Fitness,Personal Trainer,1,140.59,140.59,Debit Card,Mobile App,2023-01-14,2023,1,Saturday,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,United States,43931,2021,-43790.41
CUST_0116,Travel,Plane Ticket,1,1011.41,1011.41,Credit Card,In-store,2023-08-15,2023,8,Tuesday,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,United States,43931,2021,-42919.59
CUST_0150,Gifts,Kids Games,5,46.84,234.2,Digital Wallet,Online,2024-10-15,2024,10,Tuesday,3,2,False,False,False,True,False,False,False,False,False,False,False,False,False,United States,43931,2021,-43696.8
CUST_0048,Groceries,Bread,3,3.97,11.92,Digital Wallet,In-store,2023-12-31,2023,12,Sunday,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,United States,43931,2021,-43919.08
CUST_0110,Transportation,Car Repair,1,349.07,349.07,Cash,In-store,2023-05-12,2023,5,Friday,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,United States,43931,2021,-43581.93
CUST_0072,Personal Hygiene,Toothpaste,2,3.95,7.9,Debit Card,Mobile App,2023-12-15,2023,12,Friday,2,1,False,False,False,False,False,False,False,False,True,False,False,False,False,United States,43931,2021,-43923.1
CUST_0100,Hobbies,Crochet Supplies,4,61.12,244.49,Digital Wallet,Mobile App,2024-01-06,2024,1,Saturday,3,1,False,False,False,False,False,True,False,False,False,False,False,False,False,United States,43931,2021,-43686.51
CUST_0199,Housing and Utilities,Gas Bill,1,171.23,171.23,Digital Wallet,In-store,2024-11-24,2024,11,Sunday,3,0,False,False,False,False,False,False,True,False,False,False,False,False,False,United States,43931,2021,-43759.77
CUST_0008,Gifts,Jewelry,2,282.27,564.54,Credit Card,Mobile App,2023-12-29,2023,12,Friday,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,United States,43931,2021,-43366.46
CUST_0065,Shopping,Car,4,59807.04,239228.17,Digital Wallet,In-store,2023-11-27,2023,11,Monday,3,0,False,False,False,False,False,False,False,False,False,True,False,False,False,United States,43931,2021,195297.17
CUST_0136,Shopping,Shoes,1,122.22,122.22,Cash,In-store,2023-11-29,2023,11,Wednesday,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,United States,43931,2021,-43808.78
CUST_0023,Medical/Dental,Dentist Visit,1,333.68,333.68,Credit Card,In-store,2024-08-15,2024,8,Thursday,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,United States,43931,2021,-43597.32
CUST_0193,Groceries,Chicken,4,7.3,29.19,Debit Card,In-store,2024-01-21,2024,1,Sunday,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,United States,43931,2021,-43901.81
CUST_0041,Shopping,Clothes,3,37.8,113.4,Credit Card,Online,2024-11-06,2024,11,Wednesday,1,2,False,False,False,False,False,False,False,False,False,True,False,False,False,United States,43931,2021,-43817.6
CUST_0190,Groceries,Snacks,3,15.14,45.43,Debit Card,In-store,2023-07-26,2023,7,Wednesday,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,United States,43931,2021,-43885.57
CUST_0163,Food,Fast Food,5,6.32,31.59,Cash,Mobile App,2024-04-14,2024,4,Sunday,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,United States,43931,2021,-43899.41
CUST_0155,Food,Restaurant Meal,1,64.18,64.18,Credit Card,In-store,2024-09-06,2024,9,Friday,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,United States,43931,2021,-43866.82
